ID, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs
223,     0,     7,     8,     7,     1,     1,     4,     1,     6,     9,     9,     3,     7,     0,     3,     1,     2,     0,     5,     5
224,     9,     3,     5,     9,     1,     1,     0,     0,     7,     0,     3,     0,     8,     2,     9,     0,     1,     2,     8,     7
225,     9,     3,     8,     6,     9,     8,     3,     1,     4,     3,     4,     8,     8,     9,     2,     0,     5,     9,     5,     8
226,     3,     5,     5,     4,     0,     0,     6,     7,     6,     8,     5,     1,     7,     0,     1,     1,     3,     0,    10,     3
227,     9,     3,     5,     4,     2,     0,     1,     3,     5,     0,     1,     2,     5,     0,     8,     2,     0,     2,     7,     6
228,     8,     4,     6,     5,     0,     1,     2,     3,     3,     1,     1,     0,     6,     2,     7,     1,     0,     3,     8,     8
229,     3,     2,     3,     5,     1,     2,     7,     8,     4,     7,     8,     2,     7,     1,     1,     1,     2,     1,     6,     3
230,     3,     4,     8,     4,     6,     0,     6,     0,     4,     6,     1,     1,     3,     2,     0,     8,     1,     4,     0,     1
231,     1,     3,     7,     3,     1,     0,     9,     6,     6,     6,     8,     2,     7,     1,     0,     1,     0,     1,     6,     1
232,     9,     5,     3,     4,    10,     6,     5,     2,     6,     6,     8,     7,     8,     8,     0,     2,     5,     8,     9,     4
233,     5,     1,     2,     4,     3,     9,     5,     3,     8,     7,     6,     4,     9,     0,     1,     1,     8,     6,     9,    10
234,     1,     4,     7,     6,     9,     1,     5,     3,     7,     8,     2,     3,     1,     1,     0,     8,     1,     4,     1,     0
235,     6,     2,     6,     4,     1,     0,     2,     1,     7,     1,     4,     1,     5,     3,     5,     1,     1,     2,     8,     7
236,     2,     4,     8,     8,     8,     0,     5,     1,     4,     5,     1,     3,     0,     2,     0,     7,     3,     0,     2,     1
237,    10,     5,     4,     6,     0,     0,     1,     0,     6,     1,     2,     1,     5,     2,     7,     2,     0,     0,     5,     8
238,     1,     5,     9,     4,     3,     2,     5,     0,     5,     8,     8,     6,     8,     2,     0,     1,     0,     1,    10,     8
239,     0,     8,     9,     7,     6,     0,     5,     2,     4,     5,     8,     5,     7,     2,     1,     1,     2,     2,     9,     4
240,     8,     4,     3,     5,     1,     0,     1,     1,     4,     1,     2,     2,     7,     1,     7,     0,     1,     1,     7,     6
241,     4,     3,     8,     4,     9,     4,     5,     1,     5,     3,     8,     8,     9,     9,     1,     0,     7,     8,     8,     5
242,     6,     0,     2,     3,     1,     8,     6,     2,     5,     5,     3,     6,     8,     2,     0,     2,     4,     6,    10,    10
243,    10,     6,     6,     6,     1,     2,     0,     2,     5,     2,     3,     0,     8,     5,     8,     1,     1,     1,     6,     4
244,     8,     4,     7,     5,     1,     1,     0,     1,     3,     0,     1,     1,     8,     3,     9,     0,     1,     0,     5,     4
245,     9,     5,     7,     4,     0,     0,     1,     1,     7,     0,     3,     3,     6,     2,     8,     1,     2,     1,     9,     7
246,     7,     5,     4,     4,     0,     0,     1,     1,     5,     2,     1,     3,     9,     1,     8,     1,     0,     1,     6,     7
247,     3,     5,     8,     2,     9,     1,     4,     2,     3,     8,     3,     3,     2,     2,     4,    10,     4,     1,     3,     1
248,     7,     4,     6,     6,     8,     7,     6,     2,     2,     2,     6,     8,     8,     6,     2,     1,     5,    10,     7,     5
249,     3,     2,     1,     8,     2,     5,     6,     0,     6,     6,     2,     7,     9,     4,     0,     0,     7,     7,    10,     8
250,     9,     4,     7,     3,     8,     4,     4,     1,     7,     3,     6,    10,     6,     9,     4,     0,     5,     8,     8,     5
251,     1,     7,     7,     7,     3,     1,     4,     1,     5,     5,     7,     5,     7,     0,     0,     2,     1,     1,     8,     6
252,     4,     2,     0,     4,     4,     6,     6,     2,     5,     6,     2,     3,     9,     4,     0,     0,     5,    10,     8,     8
253,     0,     4,     4,     7,     1,     0,     7,     5,     5,     8,     5,     0,    10,     1,     2,     3,     5,     1,     8,     3
254,     2,     9,    10,     7,     4,     2,     4,     0,     4,     4,     9,     4,     4,     2,     1,     0,     2,     1,     9,     1
255,     6,     1,     0,     7,     0,     5,     7,     2,     4,     9,     2,     2,     6,     2,     1,     0,     5,     6,     8,     9
256,     7,     2,     7,     2,     1,     1,     1,     0,     4,     0,     4,     0,     9,     0,     8,     0,     1,     1,     7,     6
257,     9,     4,     6,     6,     0,     0,     0,     3,     6,     3,     4,     2,     8,     1,     9,     2,     0,     1,     7,     5
258,     2,     5,     3,     5,     5,     0,     9,     9,     4,     5,     6,     0,    10,     1,     2,     1,     3,     1,     6,     2
259,     5,     2,     8,     1,     0,     0,     6,     8,     3,     5,     5,     1,     8,     2,     1,     1,     1,     1,     6,     3
260,     9,     7,     7,     5,     5,     7,     5,     2,     4,     4,     6,     9,     9,    10,     0,     2,     8,     8,     5,     8
261,     9,     4,     5,     5,     8,     6,     6,     2,     4,     4,     5,     9,     8,     6,     0,     0,     7,     7,     7,     8
262,     0,     3,     8,     1,     8,     0,     7,     1,     5,    10,     2,     0,     2,     4,     0,     7,     1,     2,     1,     2
263,     6,     1,     6,     6,     0,     0,     1,     4,     2,     1,     3,     1,     8,     3,     8,     0,     0,     0,     8,     7
264,     4,     6,     9,     4,     3,     1,     5,     2,     1,     4,     6,     2,     6,     1,     1,     1,     1,     2,     8,     6
265,     4,     6,     7,     4,     4,     0,     4,     0,     5,     7,    10,     6,     4,     2,     1,     1,     2,     1,     6,     2
266,     0,     3,     5,     4,     7,     0,     7,     3,     4,     6,     1,     3,     4,     3,     3,     7,     1,     5,     5,     0
267,     5,     4,     3,     4,     1,     0,     0,     0,     4,     4,     3,     1,     8,     3,     8,     1,     0,     1,     7,     6
268,     1,     9,    10,     4,     1,     1,     8,     0,     6,     8,     8,     5,     5,     1,     0,     1,     1,     1,     9,     9
269,     2,     5,    10,     4,     3,     2,     5,     1,     6,     8,     9,     4,     4,     0,     1,     2,     2,     2,     7,     8
270,     1,     5,     5,     1,     2,     1,     5,     2,     6,    10,     6,     7,     9,     0,     0,     1,     1,     2,     8,     3
271,     3,     4,     7,     4,     6,     1,     3,     3,     4,     8,     0,     4,     0,     0,     1,    10,     1,     2,     3,     0
272,     8,     0,     6,     6,     0,     1,     2,     1,     5,     1,     1,     0,     8,     2,     8,     3,     2,     2,     5,     8
273,     3,     5,     4,     8,     3,     2,     7,     7,     3,     6,     8,     2,     4,     1,     0,     0,     3,     0,     7,     2
274,     0,     7,     8,     6,     1,     2,     4,     2,     6,     4,    10,     6,     5,     4,     2,     0,     0,     1,     7,     6
275,     7,     3,     4,     5,     6,     8,     8,     3,     4,     4,     9,     9,     8,     8,     1,     2,     7,     8,     9,     4
276,     2,     5,    10,     3,     2,     1,     4,     2,     3,     9,     7,     6,     8,     1,     0,     1,     0,     0,     8,     4
277,     2,     1,     6,     5,     2,     0,    10,     6,     3,     5,     5,     0,     8,     1,     1,     0,     3,     1,     7,     3
278,     1,     4,     4,     5,     2,     0,     9,     9,     6,     3,     6,     2,     8,     0,     1,     1,     0,     2,     6,     2
279,    10,     2,     3,     6,     0,     0,     2,     1,     5,     0,     1,     2,     7,     3,     7,     0,     2,     0,     7,     5
280,     1,     4,     4,     8,     0,     0,     5,     7,     5,     8,     5,     3,     7,     1,     0,     1,     3,     1,     6,     1
281,     7,     4,     8,     7,     1,     1,     1,     2,     3,     0,     1,     0,     8,     4,     9,     1,     0,     0,     8,     6
282,     9,     5,     7,     5,     9,     5,     6,     2,     6,     4,     9,     9,     9,     9,     2,     0,     7,     9,     7,     7
283,     8,     6,     6,     8,     0,     1,     0,     1,     3,     0,     3,     1,     9,     3,     9,     2,     0,     0,     5,     2
284,     1,     6,     7,     5,     4,     0,     7,     7,     5,     6,     7,     1,     7,     1,     1,     2,     2,     1,     9,     0
285,     1,     3,     6,     4,     4,     0,     6,     5,     5,     6,     4,     0,     8,     1,     3,     2,     3,     1,     7,     4
286,     7,     2,     3,     6,     2,     1,     1,     2,     3,     3,     1,     0,     6,     3,     9,     0,     4,     2,     5,     7
287,     2,     5,     5,     3,    10,     1,     4,     2,     6,     5,     3,     2,     2,     4,     1,     7,     4,     1,     5,     3
288,     3,     9,    10,     5,     6,     0,     2,     4,     7,     6,     8,     6,     4,     0,     2,     1,     1,     1,     5,     7
289,     3,     5,     7,     3,     4,     2,     5,     1,     6,     5,     8,     6,     6,     1,     1,     0,     0,     3,     8,     5
290,     1,     5,     9,     6,     2,     2,     8,     2,     6,     8,     6,     5,     6,     2,     1,     0,     0,     0,     8,     4
291,    10,     3,     7,     4,     5,     7,     4,     1,     6,     5,     7,     8,    10,     7,     1,     1,     6,     8,     5,     7
292,     8,     2,     9,     5,     8,     8,     4,     0,     7,     3,     6,     9,     6,     8,     1,     0,     7,     9,     6,     4
293,     1,     0,     8,     6,    10,     1,     5,     1,     6,     8,     2,     1,     1,     2,     2,     7,     1,     4,     2,     0
294,     1,     2,     7,     3,     1,     1,    10,     8,     7,     5,     7,     1,     9,     1,     3,     4,     3,     1,     7,     1
295,     8,     7,     9,     4,     6,     4,     5,     2,     5,     7,     6,    10,     8,     7,     1,     1,     5,     8,     9,     5
296,     0,     2,     6,     5,     0,     0,     7,     8,     4,     9,     7,     0,    10,     1,     0,     1,     2,     2,     6,     5
297,     8,     6,     6,     4,    10,     5,     3,     2,     8,     2,     7,     9,     7,     8,     1,     1,     5,     9,     5,     5
298,     1,     8,     7,     5,     3,     0,     4,     2,     8,     6,     9,     6,    10,     0,     0,     0,     2,     0,     7,     5
299,     4,     1,     0,     4,     2,     3,     4,     3,     6,     9,     2,     3,    10,     3,     1,     2,     8,     5,     9,    10
300,     2,     2,     8,     5,     8,     0,     5,     3,     4,     8,     2,     0,     3,     0,     0,     9,     0,     3,     1,     0
301,     4,     2,     1,     6,     0,     4,     5,     1,     4,     6,     2,     8,     5,     3,     0,     2,     7,     8,    10,     9
302,     5,     0,     0,     7,     4,     3,     5,     2,     5,     7,     0,     6,     4,     3,     1,     0,     7,     8,    10,     8
303,     2,     2,     6,     7,     0,     0,     7,     8,     4,     7,     2,     2,     9,     1,     0,     1,     5,     0,     6,     4
304,     9,     2,     6,     3,     1,     1,     1,     2,     4,     1,     2,     0,     8,     4,    10,     0,     1,     3,     9,     4
305,     5,     2,     0,     4,     4,     3,     6,     1,     7,     8,     0,     6,     9,     1,     0,     2,     9,     6,     7,     9
306,     2,     4,     6,     6,     9,     0,     3,     0,     6,     7,     0,     1,     1,     3,     0,     8,     2,     1,     2,     0
307,     3,     2,     9,     5,    10,     0,     6,     0,     4,     9,     2,     3,     2,     2,     1,     6,     1,     1,     2,     3
308,     8,     2,     4,     5,     0,     0,     0,     3,     7,     2,     2,     0,     9,     2,     7,     2,     3,     1,     5,     7
309,     4,     8,     8,     3,     5,     0,     5,     1,     6,     8,     7,     6,     7,     2,     0,     1,     1,     1,     7,     6
310,     3,     3,     6,     2,     9,     1,     4,     2,     2,     6,     3,     3,     2,     0,     3,     8,     3,     2,     3,     1
311,     5,     3,     1,     6,     2,     3,     5,     1,     6,     8,     2,     4,    10,     4,     0,     2,     6,     7,     8,     6
312,     4,     5,     8,     8,     3,     1,     6,     0,     3,     8,     8,     7,     5,     1,     2,     1,     0,     0,     7,     8
313,     6,     2,     5,     7,     0,     0,     2,     2,     6,     1,     1,     0,     6,     2,     8,     1,     1,     1,     5,     7
314,     8,     6,     5,     4,     8,     8,     5,     0,     2,     3,     6,     9,     8,     9,     0,     0,     7,     8,     7,     6
315,     8,     5,     9,     4,     9,     4,     8,     0,     4,     2,     7,     8,    10,     7,     2,     1,     6,     9,     8,     7
316,     4,     1,     1,     8,     1,     5,     8,     0,     4,     8,     2,     3,     9,     2,     2,     0,     8,     8,     9,     7
317,     7,     6,    10,     5,     7,     7,     7,     2,     9,     3,     4,    10,     9,     7,     0,     0,     6,     9,     6,     7
318,     8,     3,     2,     7,     2,     7,     5,     3,     8,     6,     3,     6,    10,     2,     2,     0,     7,     6,     8,     8
319,     2,     3,     8,     4,     9,     1,     6,     0,     3,     6,     0,     0,     1,     4,     1,     7,     2,     2,     2,     3
320,     1,     4,     8,     4,     1,     1,     3,     1,     5,     8,     4,     5,     6,     1,     0,     0,     2,     0,     7,     6
321,     1,     4,     9,     3,     6,     1,     6,     2,     3,     8,     3,     1,     3,     1,     0,     7,     1,     3,     2,     2
322,     2,     2,     4,     5,     1,     0,     9,     8,     6,     6,     3,     1,     8,     1,     1,     1,     0,     0,     3,     4
323,     2,     4,     8,     5,     2,     1,     4,     4,     6,     8,     8,     5,     5,     2,     0,     1,     2,     1,     5,     5
324,     2,     4,     7,     4,    10,     0,     5,     3,     3,     8,     1,     0,     3,     4,     1,     8,     2,     3,     3,     0
325,     8,     3,     5,     5,     1,     0,     2,     3,     3,     2,     1,     1,    10,     1,     9,     0,     0,     2,     7,     4
326,     9,     1,     6,     6,     9,     7,     3,     0,     6,     5,     8,     9,     8,     9,     3,     1,     7,     9,     9,     9
327,     7,     4,     8,     4,     9,     7,     7,     4,     7,     5,     9,     8,    10,     8,     2,     1,     8,    10,     7,     5
328,     4,     3,     2,     4,     3,     4,     4,     3,     3,     7,     0,     5,     9,     1,     1,     0,     7,     9,     7,     8
329,     8,     4,     5,     5,     8,     8,     8,     1,     5,     6,     6,     9,     7,     7,     2,     0,     6,     7,     5,     6
330,     1,     4,     8,     6,     7,     1,     6,     2,     4,     8,     4,     2,     1,     0,     1,     6,     0,     5,     4,     1
331,     1,     5,     5,     4,    10,     0,     4,     1,     6,     7,     1,     1,     0,     5,     2,     5,     3,     2,     1,     3
332,     1,     4,     8,     7,     2,     0,     4,     1,     3,     7,     8,     6,     3,     1,     2,     1,     1,     2,     8,     3
333,     6,     3,     7,     3,     0,     0,     1,     2,     6,     1,     3,     0,     8,     1,     8,     1,     0,     3,     8,     5
334,     5,     1,     2,     2,     1,     5,     8,     1,     5,     7,     6,     6,     8,     4,     0,     3,     8,     5,     8,     8
335,     8,     3,     6,     5,     0,     3,     1,     1,     4,     0,     4,     1,     8,     3,     8,     2,     2,     1,     9,     6
336,     3,     4,     8,     6,     9,     0,     7,     3,     4,     6,     2,     1,     0,     1,     0,     9,     2,     2,     2,     2
337,     8,     6,     7,     7,     9,     6,     7,     1,     4,     2,     4,     9,     9,     9,     2,     2,     6,    10,     7,     7
338,     9,     4,     6,     8,     0,     0,     0,     0,     4,     2,     2,     1,     5,     4,     7,     0,     1,     1,     6,     6
339,     2,     1,     4,     5,     3,     2,     9,     5,     5,     4,     7,     0,     9,     0,     2,     1,     2,     3,     7,     0
340,     9,     4,     6,     4,     1,     2,     0,     2,     6,     0,     6,     2,     5,     2,    10,     0,     1,     1,     7,     7
341,     3,     8,     7,     5,     4,     2,     5,     2,     6,    10,     6,     7,     7,     1,     1,     2,     1,     1,     7,     7
342,     7,     2,     6,     4,     9,     8,     4,     2,     5,     3,     8,     9,     7,     9,     0,     1,     7,     9,     8,     6
343,     8,     5,     7,     5,     8,     4,     4,     2,     6,     5,     7,     9,     7,    10,     1,     0,     3,     8,     5,     4
344,     7,     3,     4,     7,     2,     2,     1,     3,     4,     1,     1,     0,     8,     2,     8,     1,     2,     1,     8,     5
345,     2,     4,     4,     5,     1,     2,     3,     8,     5,     5,     6,     0,     8,     1,     1,     1,     3,     0,     7,     1
346,     2,     6,     7,     6,     5,     0,     3,     3,     4,     5,     9,     4,     9,     1,     0,     1,     1,     3,     8,     4
347,     2,     6,     4,     2,     0,     0,     8,     8,     5,     6,     5,     1,     8,     0,     1,     1,     1,     2,     9,     1
348,     8,     0,     3,     6,     1,     6,     8,     2,     7,    10,     5,     6,     6,     3,     1,     2,     9,     7,     8,     9
349,     1,     5,     7,     5,     8,     1,     4,     1,     4,     5,     2,     1,     0,     4,     1,     8,     3,     2,     1,     2
350,     2,     4,     6,     3,     8,     1,     2,     2,     2,     9,     3,     0,     2,     3,     1,    10,     3,     3,     2,     0
351,     3,     3,     8,     4,     8,     0,     4,     2,     5,     7,     1,     2,     1,     2,     0,     8,     1,     1,     4,     0
352,     3,     7,     9,     5,     4,     0,     5,     1,     6,     8,     8,     6,     5,     0,     0,     1,     2,     4,     7,     6
353,     3,     6,     7,     8,     4,     1,     5,     1,     8,     7,     7,     4,     8,     3,     1,     1,     1,     1,     8,     6
354,     2,     6,     9,     4,     2,     0,     5,     2,     5,     5,     9,     6,     4,     1,     0,     2,     0,     2,     7,     6
355,     4,     1,     0,     2,     2,     6,     8,     0,     4,     6,     1,     6,     8,     2,     1,     1,     7,     6,    10,     8
356,     5,     1,     1,     5,     3,     2,     5,     1,     4,     8,     5,     6,     6,     3,     0,     0,     6,     7,     8,     6
357,     0,     3,     4,     6,     1,     2,     7,     4,     8,     8,     7,     1,     4,     0,     2,     1,     0,     1,     8,     1
358,     7,     3,     6,     5,     9,     7,     4,     2,     4,     7,     6,     9,     8,     8,     0,     0,     7,     6,     7,     8
359,     0,     2,     9,     4,     6,     1,     6,     2,     4,     7,     1,     2,     1,     2,     0,     9,     4,     0,     1,     0
360,     1,     4,     5,     6,     2,     1,     7,     8,     4,     5,     9,     4,     7,     1,     0,     1,     2,     1,     8,     2
361,     9,     6,     7,     4,     1,     0,     1,     0,     5,     0,     1,     1,     8,     2,     9,     0,     3,     2,     9,     7
362,     6,     2,     7,     4,     3,     1,     2,     3,     7,     2,     1,     1,     8,     2,     8,     2,     2,     0,     7,     4
363,     2,     2,     6,     3,     1,     0,     7,     7,     4,     6,     6,     0,     8,     1,     0,     0,     4,     1,     8,     2
364,     2,     5,     5,     6,     0,     1,     9,     7,     2,     8,     4,     2,     5,     1,     1,     3,     2,     0,     7,     2
365,     2,     4,     7,     4,     9,     0,     7,     3,     4,     6,     4,     3,     1,     3,     2,     6,     1,     3,     2,     0
366,     9,     4,     4,     3,     1,     0,     0,     0,     6,     1,     0,     1,     9,     3,     9,     1,     0,     2,     8,     7
367,     9,     4,     5,     6,     0,     1,     1,     0,     5,     1,     2,     3,     8,     2,     8,     3,     1,     2,     7,     6
368,     8,     2,     6,     6,     0,     1,     0,     2,     5,     2,     1,     0,     6,     2,     8,     1,     0,     0,     5,     4
369,     7,     4,     8,     9,     7,     7,     5,     1,     6,     2,     4,     9,     6,     8,     0,     0,     4,     7,     5,     8
370,     2,     5,    10,     3,     1,     1,     4,     2,     6,     8,     9,     6,     4,     1,     2,     4,     0,     1,     6,     6
371,     0,     4,     5,     3,     1,     0,     9,     6,     7,     6,     4,     3,     6,     1,     2,     1,     2,     0,     7,     0
372,     3,     1,     5,     5,     3,     0,     8,     8,     3,     8,     5,     1,     6,     0,     3,     0,     1,     3,     7,     1
373,     8,     3,     7,     7,     0,     1,     2,     1,     3,     1,     1,     2,     8,     2,     8,     0,     3,     0,     7,     7
374,     1,     2,     6,     3,     9,     2,     7,     1,     5,     7,     1,     3,     1,     3,     0,     6,     0,     3,     0,     1
375,     2,     4,     4,     1,     4,     1,     9,     5,     6,     5,     6,     1,     8,     2,     0,     2,     2,     1,     8,     2
376,     8,     2,     7,     6,     9,     6,     7,     1,     7,     5,     5,     9,     9,     8,     1,     0,     6,     7,     5,     6
377,     8,     5,     7,     7,     6,     5,     6,     1,     8,     3,     7,    10,     4,     7,     1,     0,     5,     5,     6,     6
378,     9,     5,     6,     5,     6,     6,     6,     0,     4,     4,     8,     9,     8,     7,     0,     1,     6,     9,     8,     7
379,     7,     3,     4,     7,     0,     0,     3,     2,     9,     0,     2,     1,     7,     1,    10,     1,     1,     1,     5,     5
380,     9,     1,     5,     5,     0,     0,     0,     1,     4,     1,     3,     0,     7,     2,     9,     1,     1,     1,     7,     8
381,     4,     6,     6,     4,     0,     0,     6,     3,     5,     7,     6,     1,     9,     0,     0,     1,     3,     0,     4,     4
382,     4,     3,    10,     5,    10,     0,     3,     1,     6,     6,     1,     4,     4,     3,     1,     8,     4,     0,     3,     1
383,     3,     5,     7,     3,     9,     0,     5,     2,     2,     9,     2,     1,     3,     2,     2,    10,     1,     1,     0,     1
384,     8,     5,     8,     5,     0,     0,     1,     0,     7,     1,     1,     1,     6,     1,     7,     2,     0,     0,     8,     4
385,     9,     5,     6,     2,     2,     0,     1,     1,     2,     2,     2,     2,     8,     5,     9,     1,     2,     0,     4,     7
386,     6,     3,     3,     8,     0,     1,     2,     1,     8,     1,     1,     1,     9,     1,     8,     0,     0,     1,     7,     7
387,     1,     2,     7,     7,     2,     1,     8,     6,     5,     6,     7,     1,     8,     1,     0,     1,     6,     1,     7,     2
388,     3,     2,     6,     7,     2,     2,     7,     8,     4,     5,     4,     0,     9,     3,     0,     0,     1,     1,     6,     4
389,     0,     4,     6,     2,     0,     1,     8,     8,     9,     4,     4,     1,     8,     3,     0,     1,     2,     0,     9,     2
390,     2,     4,     4,     4,     1,     0,     8,     8,     6,     7,     4,     0,     8,     1,     0,     0,     2,     1,     8,     2
391,     6,     3,     8,     5,     2,     0,     0,     4,     4,     2,     4,     2,     8,     2,     7,     0,     1,     1,     9,     5
392,     5,     6,     9,     4,     2,     3,     4,     1,     6,     4,     6,     3,    10,     1,     0,     2,     3,     1,     7,     6
393,     2,     3,     6,     7,     0,     2,     7,     9,     3,     7,     4,     0,     7,     2,     1,     1,     2,     2,     6,     0
394,     9,     2,     8,     7,     0,     0,     0,     1,     6,     0,     4,     1,    10,     4,     9,     3,     1,     0,     9,     8
395,     8,     3,     5,     5,     0,     0,     1,     0,     4,     3,     2,     1,     8,     2,     7,     1,     1,     1,     8,     6
396,     9,     2,     6,     4,     0,     0,     1,     2,     6,     2,     0,     1,     5,     2,     4,     0,     1,     0,     8,     5
397,     4,     1,     3,     4,     4,     6,     4,     1,     7,     6,     4,     5,     8,     2,     1,     1,     7,     8,     9,     9
398,     8,     3,     7,     4,     8,     6,     6,     2,     4,     3,     4,     7,     8,     9,     1,     2,     7,     9,     9,     6
399,     2,     3,     7,     7,     8,     1,     5,     1,     7,     5,     0,     3,     0,     1,     0,     7,     2,     1,     3,     1
400,     7,     2,     2,     2,     1,     0,     1,     1,     7,     3,     1,     0,     7,     4,     9,     0,     2,     1,     5,     8
401,     2,     9,     7,     6,     3,     1,     6,     0,     2,     7,     9,     6,     5,     2,     2,     0,     2,     2,     9,     6
402,     8,     5,     8,     2,     8,     5,     4,     1,     5,     2,     7,     9,     9,     7,     0,     0,     6,     7,     5,     7
403,     9,     3,     7,     6,     7,     3,     6,     1,     4,     3,     7,    10,     7,     9,     0,     0,     8,     8,     6,     7
404,     9,     1,     6,     3,     0,     1,     0,     1,     5,     0,     1,     0,     8,     1,     5,     3,     1,     1,     8,     4
405,     5,     2,     1,     5,     1,     7,     4,     1,     9,     8,     2,     7,    10,     4,     0,     2,     6,     8,     9,     7
406,     7,     3,     5,     5,     0,     0,     1,     2,     2,     0,     3,     1,     9,     1,     8,     1,     1,     3,     7,     7
407,     7,     2,     5,     6,     0,     0,     1,     1,     4,     2,     1,     1,     9,     1,     7,     0,     2,     1,     7,     6
408,     1,     3,     3,     2,     2,     0,     6,     6,     5,     7,     7,     1,    10,     0,     2,     3,     1,     1,     6,     2
409,     2,     2,     6,     4,     3,     0,     9,     7,     6,     7,     7,     1,     6,     1,     1,     2,     2,     1,     8,     2
410,     9,     3,     5,     2,     9,     5,     4,     1,     4,     1,     5,     8,     7,     7,     2,     0,     5,     8,     6,     6
411,     1,     7,     8,     3,     4,     0,     6,     0,     9,     7,     7,     4,     7,     0,     0,     1,     2,     1,     9,     6
412,     3,     5,     6,     5,     3,     1,     6,     9,     6,     5,     7,     2,     7,     0,     1,     0,     0,     0,     9,     4
413,     1,     7,     6,     5,     1,     0,     6,     0,     4,     8,     7,     2,     4,     0,     0,     0,     0,     0,     6,     4
414,     9,     2,     7,     3,     0,     0,     1,     1,     5,     1,     2,     1,     8,     4,    10,     0,     0,     2,     6,     7
415,     4,     2,     0,     5,     2,     5,     5,     3,     5,     9,     2,     6,     9,     2,     1,     1,     8,     7,     9,     6
416,     2,     4,     8,     7,     2,     0,     9,     8,     4,     7,     4,     1,     8,     1,     1,     2,     1,     1,     8,     1
417,     2,     6,     8,     8,     4,     0,     5,     0,     4,     7,     7,     4,     6,     1,     0,     2,     1,     1,     8,     6
418,     9,     2,     4,     5,     7,     9,     3,     0,     4,     4,     8,     9,     7,     9,     2,     1,     6,     8,     7,     3
419,    10,     4,     7,     4,     8,     7,     6,     2,     3,     4,     8,     8,    10,     7,     0,     0,     7,     7,     6,     5
420,     9,     3,     5,     3,     0,     0,     0,     1,     4,     1,     2,     1,     5,     1,     6,     3,     1,     0,     6,     7
421,     3,     4,     5,     5,     1,     0,     6,     7,     6,     5,     4,     0,    10,     0,     0,     0,     3,     0,     9,     2
422,     3,     3,     2,     3,     4,     3,     9,     0,     2,     8,     2,     6,     6,     1,     0,     0,     7,     7,     8,     9
423,     2,     2,     9,     5,     5,     0,     5,     5,     5,     7,     1,     2,     3,     2,     1,     8,     6,     4,     0,     0
424,     4,     3,     4,     6,     1,     2,     7,     8,     5,     8,     6,     0,    10,     1,     3,     0,     2,     0,     6,     1
425,     8,     2,     4,     1,     0,     0,     2,     2,     3,     0,     4,     1,     9,     4,    10,     4,     0,     2,     7,     9
426,     2,     6,     7,     5,     9,     2,     7,     0,     7,     6,     1,     2,     0,     0,     0,     8,     1,     1,     2,     2
427,     7,     8,     5,     6,     9,     6,     5,     0,     5,     4,     8,     8,     3,     6,     1,     0,     6,     8,     5,     4
428,     8,     6,     6,     6,     1,     0,     0,     1,     7,     0,     3,     1,     8,     2,     8,     2,     1,     2,     8,     7
429,     7,     3,     9,     2,     9,     5,     4,     3,     5,     3,     8,     9,     7,     8,     1,     1,     3,     7,     8,     8
430,     0,     5,     7,     5,     9,     0,     6,     0,     6,     6,     0,     0,     1,     1,     0,     5,     2,     1,     3,     0
431,    10,     7,     3,     8,     8,     5,     5,     3,     6,     2,     7,     8,     6,    10,     2,     1,     6,     8,     5,     6
432,     1,     4,     8,     6,     8,     0,     8,     2,     4,     8,     5,     2,     1,     2,     0,     7,     3,     1,     2,     0
433,     9,     5,     7,     7,     9,     6,     5,     2,     8,     3,     6,     8,     8,    10,     2,     1,     4,     7,     5,     6
434,    10,     4,     5,     2,     2,     0,     2,     0,     6,     1,     3,     0,     9,     1,     7,     2,     1,     2,     5,     7
435,     1,     5,     7,     7,     8,     0,     5,     1,     2,     7,     2,     1,     2,     0,     1,     9,     1,     1,     3,     2
436,     3,     3,     8,     5,     8,     1,     5,     0,     6,     8,     0,     1,     0,     3,     1,     9,     1,     2,     4,     0
437,     5,     5,     5,     6,    10,     4,     5,     4,     5,     4,     7,     9,     9,     9,     3,     0,     9,     9,     6,     5
438,     0,     4,     8,     7,     1,     0,     5,     1,     7,     7,     8,     2,     7,     0,     0,     2,     0,     2,     7,     4
439,     3,     2,     7,     2,     8,     1,     3,     2,     4,     7,     4,     3,     1,     2,     1,     7,     0,     4,     2,     2
440,     7,     2,     1,     4,     4,     7,     5,     1,     7,     8,     4,     3,     7,     4,     0,     4,     8,     8,     9,    10
441,     7,     7,     7,     6,     8,     6,     5,     1,     6,     6,     6,     9,     8,     6,     1,     0,     8,     9,     4,     7
442,     3,     1,     9,     5,     8,     0,     6,     2,     7,     8,     5,     1,     2,     0,     0,     8,     4,     4,     2,     2
443,     3,     1,     0,     3,     3,     5,     8,     1,     6,     7,     2,     7,     9,     1,     0,     1,     8,     9,     8,    10
444,     8,     3,     7,     2,     2,     1,     0,     2,     3,     0,     1,     0,     6,     1,     9,     1,     2,     1,     7,     6
445,     0,     5,     2,     5,     1,     0,     8,     9,     5,     4,     5,     1,     9,     1,     1,     1,     2,     0,     7,     0
446,    10,     4,     4,     5,     6,     7,     3,     1,     6,     6,     9,     9,     7,    10,     0,     1,     3,     8,     7,     7
